tpep_pickup_datetime,Date,Day_of_Week,Total_trips,Total_fare,Total_amount,speed_p50,duration_p50,duration_p95,distance_p50,distance_p95,avg_distance,revenue_per_trip,revenue_per_mile,Early Morning,Morning,Morning Rush,Midday,Evening Rush,Late Night,index_100_by_day_by_trips
2021-03-03 00:00:00-05:00,2021-03-03,Wednesday,59077,690296.68,762770.8300000001,10.63,10.0,31.0,1.69,8.8,2.6778728734659327,11.684694212637744,4.36355772692885,150.75 / 178.75,541.0 / 459.0,3118.0 / 2945.67,4107.83 / 4067.17,4354.0 / 4410.67,1957.6 / 2102.6,115.844069258976
2021-03-04 00:00:00-05:00,2021-03-04,Thursday,62962,726686.21,807244.51,10.71,10.0,30.0,1.66,8.57,2.6295481329712045,11.541663384263524,4.389286350226154,166.5 / 197.0,540.33 / 458.67,3044.67 / 2874.0,4330.83 / 4290.83,4776.0 / 4823.0,2245.6 / 2392.4,123.46216444104554
2021-03-05 00:00:00-05:00,2021-03-05,Friday,64983,763714.2100000001,844343.6400000001,10.55,10.0,32.0,1.68,8.760499999999956,2.6728116343490305,11.75252312143176,4.397107244354167,198.25 / 276.5,532.0 / 444.67,3043.67 / 2881.67,4198.33 / 4142.0,4778.67 / 4780.0,2787.4 / 2941.2,127.42514265545033
2021-03-06 00:00:00-05:00,2021-03-06,Saturday,51569,587003.29,648032.8400000001,12.03,9.0,27.0,1.7,8.69699999999997,2.726049217522834,11.382871298648414,4.175748738852699,476.25 / 535.0,266.0 / 247.0,1281.67 / 1190.0,3560.5 / 3475.33,3765.67 / 3811.0,2472.2 / 2566.6,101.12163460595723
2021-03-07 00:00:00-05:00,2021-03-07,Sunday,36245,453631.5,493573.76000000007,13.3,9.0,29.0,1.85,11.8,3.2302107993267666,12.515698717064422,3.874743933171117,548.5 / 588.5,199.0 / 185.67,870.33 / 814.0,2679.83 / 2614.67,2736.0 / 2782.67,1311.2 / 1371.2,71.07280820440418
2021-03-08 00:00:00-05:00,2021-03-08,Monday,52398,630089.66,701512.7500000001,11.28,10.0,31.0,1.72,10.16,2.8763364314750848,12.02507080422917,4.180700386626582,205.75 / 240.25,539.33 / 455.67,3019.33 / 2888.67,3709.33 / 3668.83,3751.67 / 3850.33,1477.6 / 1568.0,102.74722042473086
2021-03-09 00:00:00-05:00,2021-03-09,Tuesday,58064,682688.26,758958.0900000001,10.98,10.0,30.0,1.7,9.0,2.7578096583080733,11.757513433452742,4.2633520402804095,203.25 / 230.5,539.67 / 464.33,2922.67 / 2766.67,3973.33 / 3939.5,4374.67 / 4411.67,1980.0 / 2115.4,113.85767790262172
2021-03-10 00:00:00-05:00,2021-03-10,Wednesday,60373,714103.5,789055.3800000001,10.84,10.0,31.0,1.7,9.0,2.743808490550412,11.828193066436983,4.310866850646793,240.75 / 270.0,543.0 / 468.33,2972.67 / 2806.0,4135.17 / 4095.0,4541.67 / 4608.67,2085.4 / 2214.8,118.38539521932663
2021-03-11 00:00:00-05:00,2021-03-11,Thursday,63885,761110.5599999998,838115.7200000001,10.78,10.0,32.0,1.73,9.08,2.7763505157866724,11.913760037567505,4.291263782484265,171.75 / 227.25,522.0 / 441.33,2984.67 / 2837.67,4231.67 / 4174.5,4874.33 / 4890.0,2533.0 / 2684.4,125.27207482793105
2021-03-12 00:00:00-05:00,2021-03-12,Friday,66970,806095.9899999999,882521.4100000001,10.72,10.0,33.0,1.74,9.13,2.783096244306727,12.03667298790503,4.324070499918892,259.25 / 362.75,491.0 / 414.0,2771.0 / 2647.67,4125.83 / 4030.83,5074.0 / 5061.33,3234.0 / 3393.0,131.3214502813891
2021-03-13 00:00:00-05:00,2021-03-13,Saturday,57240,666502.22,731275.9100000001,12.0,9.0,29.0,1.8,8.7,2.785719751900061,11.643994060097834,4.1802076825626715,689.75 / 779.75,270.0 / 246.0,1306.0 / 1218.67,3746.83 / 3652.5,4294.67 / 4281.33,2877.6 / 2993.6,112.2418965821519
2021-03-14 00:00:00-05:00,2021-03-14,Sunday,40987,502503.46,553419.92,13.19,9.0,29.0,1.8,11.5,3.1463295185573803,12.260069290262766,3.896924459822132,576.75 / 599.5,213.33 / 204.33,875.33 / 814.33,2982.67 / 2904.17,3242.0 / 3297.67,1558.4 / 1643.0,80.37139439574878
2021-03-15 00:00:00-04:00,2021-03-15,Monday,57426,679318.15,755774.6000000001,11.34,9.0,30.0,1.68,9.89,2.82629603831084,11.829452686936232,4.185566988077337,175.5 / 201.0,538.0 / 458.67,3362.33 / 3209.0,4043.33 / 3995.83,4076.67 / 4206.67,1706.6 / 1804.8,112.60662391905407
2021-03-16 00:00:00-04:00,2021-03-16,Tuesday,61438,723602.6099999999,801279.2000000001,10.86,10.0,31.0,1.7,9.5,2.7716136015886974,11.777769621406945,4.249386715757985,149.75 / 179.75,500.33 / 420.67,3295.33 / 3134.33,4409.5 / 4361.17,4533.0 / 4610.0,1879.2 / 2011.4,120.47375335804067
2021-03-17 00:00:00-04:00,2021-03-17,Wednesday,66861,770622.5500000002,857966.8600000001,11.07,10.0,29.0,1.7,8.81,2.6854901286269817,11.525740715813406,4.2918761883974925,163.0 / 217.25,524.33 / 435.0,3292.67 / 3131.0,4499.17 / 4440.67,4985.0 / 5083.67,2561.6 / 2679.8,131.1077122183658
2021-03-18 00:00:00-04:00,2021-03-18,Thursday,66933,791664.4499999998,877143.9199999999,10.33,10.0,32.0,1.68,9.1,2.7063246675631256,11.827715028461297,4.37057426359804,282.75 / 322.25,543.0 / 443.33,3297.67 / 3117.33,4783.5 / 4713.5,4950.33 / 5065.0,2145.6 / 2297.2,131.24889699394083
